species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Serapias lingua;NO;1348;57;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Serinus canaria;NO;3070;2723;R13948;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Serranus hepatus;NO;0;106;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Sesamum indicum;NO;6871;12484;R18432;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Setaria helvola;NO;187;6;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Shelfordella lateralis;NO;705;141;R17179;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sibbaldia tridentata;NO;0;6;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sicyonia lancifer;NO;0;9;R19329;A;0;0;1;0;Marine;NO;NO;NO;NO
Siganus rivulatus;NO;982;1098;R14027;A;0;0;1;0;Marine;NO;YES;NO;NO
Sigesbeckia jorullensis;NO;0;61;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Silene chalcedonica;NO;1067;20;R14038;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Silene conica;NO;1242;32;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Silene noctiflora;NO;1142;210;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sillago suezensis;NO;100;21;R19096;A;0;0;1;0;Marine;NO;NO;NO;NO
Sinacalia tangutica;NO;873;40;R14110;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sinelobus stanfordi;NO;0;47;R14119;C;0;0;1;0;Marine;NO;NO;NO;NO
Sinelobus vanhaareni;NO;0;6;NA;NA;0;1;1;0;Freshwater_Marine;NO;NO;NO;NO
Singhiella simplex;NO;0;31;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sinoxylon anale;NO;192;32;R14122;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sinoxylon unidentatum;NO;0;10;R14128;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sipha flava;NO;0;200;R14130;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sisymbrium altissimum;NO;946;49;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sisyrinchium angustifolium;NO;1658;26;R14170;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sisyrinchium californicum;NO;2466;6;R14171;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sisyrinchium striatum;NO;2392;3;R14176;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Skimmia japonica;NO;7489;243;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Skistodiaptomus pallidus;NO;NA;NA;R14197;A;0;1;0;0;NA;NA;NA;NO;NA
Smittina nitidissima;NO;0;2;R17520;A;0;0;1;0;Marine;NO;NO;NO;NO
Smittoidea prolifica;NO;0;12;R14208;A;0;0;1;0;Marine;NO;NO;NO;NO
Smyrnium olusatrum;NO;2492;399;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Solandra maxima;NO;3880;21;R18476;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum betaceum;NO;2445;815;R18469;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum laciniatum;NO;2369;841;R18477;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum lycopersicum;NO;9120;34336;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum pimpinellifolium;NO;2733;1951;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum seaforthianum;NO;1897;34;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum tuberosum;NO;8468;74563;R14269;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solanum wendlandii;NO;1392;32;R14276;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Solidago altissima;NO;955;3053;R19991;A;1;1;1;0;Freshwater_ Marine_ Oligohaline_ Terrestrial;NO;NO;NO;NO
Solmundella bitentaculata;NO;0;20;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Sophonia orientalis;NO;0;13;R14318;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sorbaria kirilowii;NO;0;30;R14321;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sousa plumbea;NO;0;303;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Spartium junceum;NO;4376;1148;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Spergularia bocconei;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Spermophilus citellus;NO;1144;1786;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Spermothamnion cymosum;NO;0;7;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Sphaeroma walkeri;NO;0;65;R14410;A;0;0;1;0;Marine;NO;NO;NO;NO
Sphodromantis viridis;NO;1512;55;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sphyraena flavicauda;NO;0;85;R14428;A;0;0;1;0;Marine;NO;NO;NO;NO
Sphyraena obtusata;NO;0;111;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Spilopelia chinensis;NO;1338;14;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spilostethus furculus;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Spiraea japonica;NO;7876;385;R14459;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spiraea nipponica;NO;2621;29;R14462;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spiranthes cernua;NO;1128;189;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spirobassia hirsuta;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Spirobranchus tetraceros;NO;0;24;R14481;A;0;0;1;0;Marine;NO;NO;NO;NO
Spirorchis elegans;NO;0;27;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;NO
Spizaetus melanoleucus;NO;842;22;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spondylus spinosus;NO;0;49;R14499;A;0;0;1;0;Marine;NO;NO;NO;NO
Sporobolus cryptandrus;NO;1306;71;R14509;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sporobolus indicus;NO;1390;167;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sporobolus michauxianus;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sporobolus vaginiflorus;NO;0;34;R14515;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Spratelloides delicatulus;NO;0;31;R16504;A;0;0;1;0;Marine;NO;NO;NO;NO
Stachys cretica;NO;424;188;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Stellaria cupaniana;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Stenopelmus rufinasus;NO;0;63;R14572;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Stenothoe georgiana;NO;0;6;R19689;A;0;0;1;0;Marine;NO;NO;NO;NO
Stephanitis lauri;NO;0;6;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Stephanitis takeyai;NO;0;78;R14586;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Stephos cryptospinosus;NO;NA;NA;R19644;C;0;0;1;0;NA;NA;NA;NO;NA
Steraspis squamosa;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sternochetus mangiferae;NO;1795;111;R14592;A;1;0;0;0;Terrestrial;NO;NO;YES;NO
Sticteulima lentiginosa;NO;0;1;R14594;C;0;0;1;0;Marine;NO;NO;NO;NO
Stragania apicalis;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Stramonita floridana;NO;0;52;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Stramonita haemastoma;NO;1189;433;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Stranvaesia davidiana;NO;1094;7;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Streblospio gynobranchiata;NO;0;101;R14638;A;0;0;1;0;Marine;NO;NO;NO;NO
Stricticollis tobias;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Struthiopteris spicant;NO;0;53;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Styela plicata;NO;NA;NA;R19390;A;0;0;1;0;NA;NA;NA;NO;NA
Sulla coronaria;NO;0;190;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Supella longipalpa;NO;706;491;R14736;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sus scrofa;NO;835;74179;NA;NA;1;0;0;0;Terrestrial;YES;NO;NO;YES
Syagrus romanzoffiana;NO;5217;728;R14745;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sycophaga sycomori;NO;0;51;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sycophila maculifacies;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Syllis pectinans;NO;0;3;R16851;A;0;0;1;0;Marine;NO;NO;NO;NO
Symphoricarpos albus;NO;6654;124;R14754;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphoricarpos albus var. laevigatus x microphyllus x orbiculatus;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphoricarpos chenaultii;NO;2490;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphoricarpos orbiculatus;NO;3196;52;R14758;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphyotrichum novae-angliae;NO;1917;93;R14773;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphyotrichum subulatum;NO;1856;25;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symphytum bulbosum;NO;1617;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Symphytum caucasicum;NO;796;59;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Symphytum grandiflorum;NO;1972;26;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Symplegma brakenhielmi;NO;NA;NA;R16852;A;0;0;1;0;NA;NA;NA;NO;NA
Synanceia verrucosa;NO;517;221;R16853;A;0;0;1;0;Marine;NO;NO;NO;NO
Synchiropus sechellensis;NO;0;19;R18251;A;0;0;1;0;Marine;NO;NO;NO;NO
Synergus gallaepomiformis;NO;0;8;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Synidotea laticauda;NO;0;9;R14816;A;0;0;1;0;Marine;NO;NO;NO;NO
Syringa persica;NO;1425;81;R14824;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Syringa reticulata;NO;2413;192;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Syrnola fasciata;NO;0;10;R14828;A;0;0;1;0;Marine;NO;NO;NO;NO
Syzygium cumini;NO;5731;7104;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Taeniacanthus lagocephali;NO;NA;NA;R17514;A;0;0;1;0;NA;NA;NA;NO;NA
Taeniopygia guttata;NO;3580;9484;R14859;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tagetes erecta;NO;4160;5129;R14865;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tagetes minuta;NO;4851;2362;R14866;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Takahashia japonica;NO;767;10;R19650;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Talinum paniculatum;NO;3723;215;R14870;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tamias sibiricus;accepted;1696;684;R14882;A;1;0;0;0;Terrestrial;NO;YES;NO;NO
Tamias striatus;NO;1677;2395;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tanysphyrus ater;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taphrina farlowii;NO;0;6;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tapinoma ibericum;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum anglicum;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum autumnaliforme;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum ceratophorum;NO;0;180;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum delanghei;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum lambinonii;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum mattmarkense;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum mediterraneum;NO;0;11;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum multilepis;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum pseudodunense;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum roseocarpum;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Taraxacum sellandii;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Tautoneura polymitusa;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tayuva lilacina;NO;0;0;R14937;C;0;0;1;0;Marine;NO;NO;NO;NO
Tecoma smithii;NO;0;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tecoma stans;NO;7566;1088;R14944;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Teline stenopetala;NO;0;7;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tellima grandiflora;NO;2991;350;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Telmatogeton japonicus;NO;0;32;R14963;A;1;0;1;0;Terrestrial_ Marine;NO;NO;NO;NO
Tenellia adspersa;NO;0;58;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Tenrec ecaudatus;NO;1111;194;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Testudo marginata;NO;5354;414;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Tetraena waterlotii;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tetramorium bicarinatum;NO;1823;193;R15015;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tetranychus evansi;NO;238;1181;R15025;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tetrao urogallus;NO;1342;2307;R15037;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Teucrium hircanicum;NO;2294;30;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Teucrium lucidrys;NO;3495;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Thalia dealbata;NO;4132;322;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;NO
Thalictrum speciosissimum;NO;0;10;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Tharyx killariensis;NO;0;8;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Thaumastocoris peregrinus;NO;695;347;R17950;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Theora lubrica;NO;0;123;R15099;A;0;0;1;0;Marine;NO;NO;NO;NO
Thevetia peruviana;NO;6306;2154;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Thladiantha dubia;NO;1336;84;R15123;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Threskiornis aethiopicus;accepted;1281;170;R15136;A;1;1;0;0;Freshwater_Terrestrial;NO;YES;NO;NO
Thrips setosus;NO;0;90;R19581;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Thuja occidentalis;NO;12070;2869;R15163;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Thuja plicata;NO;9990;3079;R15164;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tiarella cordifolia;NO;4567;13;R15187;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tilia tomentosa;NO;10737;696;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Tithonia rotundifolia;NO;3006;193;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tockus deckeni;NO;0;8;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tolmiea menziesii;NO;3059;361;R15238;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Torostoma apicale;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Torymus sinensis;NO;2466;282;R17723;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trachelium caeruleum;NO;2867;287;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trachemys emolli;NO;692;9;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;NO
Trachycarpus fortunei;NO;7270;436;R15289;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trachymela sloanei;NO;0;11;R19561;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trachysalambria palaestinensis;NO;0;14;R17568;A;0;0;1;0;Marine;NO;NO;NO;NO
Tradescantia andersoniana;NO;2645;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tradescantia fluminensis;NO;5251;455;R15301;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tradescantia spathacea;NO;5696;157;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tragopogon mirabilis;NO;0;32;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Triadica sebifera;accepted;2454;630;R15336;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tricellaria inopinata;NO;374;123;R15349;A;0;0;1;0;Marine;NO;YES;NO;NO
Trichoferus campestris;NO;0;53;R19556;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trichoglossus haematodus;NO;1839;293;R15367;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trichopoda pennipes;NO;1317;307;R15380;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tridentiger barbatus;NO;0;43;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Trifolium michelianum;NO;0;163;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trifolium nigrescens;NO;985;326;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trifolium suffocatum;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trifolium sylvaticum;NO;0;76;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trilocha varians;NO;100;54;R19707;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trinchesia genovae;NO;0;0;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Trioza brevigenae;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tripleurospermum decipiens;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Triticum aestivum;NO;8210;179387;R15533;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Triticum compactum;NO;1345;235;R15538;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trixagus atticus;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trollius europaeus;NO;3054;490;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Tropaeolum majus;NO;6445;2579;R15571;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Trotomma pubescens;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Trypauchen vagina;NO;168;116;R16875;A;0;0;1;0;Marine;NO;NO;NO;NO
Tsuga mertensiana;NO;2479;544;R15592;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tulbaghia violacea;NO;5823;463;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tulipa urumiensis;NO;878;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tuta absoluta;NO;9097;3522;R15632;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Tylerius spinosissimus;NO;0;96;R15640;A;0;0;1;0;Marine;NO;NO;NO;NO
Typha laxmannii;NO;1876;39;NA;NA;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;YES
Typha provincialis;NO;0;1;NA;NA;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;YES
Ulva australis;NO;588;1389;R16876;A;0;0;1;0;Marine;NO;NO;NO;NO
Ulva californica;NO;0;340;R15675;A;0;0;1;0;Marine;NO;NO;NO;NO
Ulva gigantea;NO;0;215;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Ulva ohnoi;NO;0;382;R15677;A;0;0;1;0;Marine;NO;NO;NO;NO
Ulvaria splendens;NO;0;10;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Umbraulva dangeardii;NO;0;3;R19327;C;0;0;1;0;Marine;NO;NO;NO;NO
Undaria pinnatifida;NO;NA;NA;R15692;A;0;0;1;0;NA;NA;NA;NO;NA
Upeneus pori;NO;0;93;R15695;A;0;0;1;0;Marine;NO;NO;NO;NO
Urocissa erythroryncha;NO;0;3;R19803;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Urtica membranacea;NO;940;42;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Vaccinium corymbosum;NO;5705;6920;R15789;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Vallisneria americana;NO;3621;1715;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;NO
Vallisneria spiralis;NO;5337;1515;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;YES
Vanderhorstia mertensi;NO;0;36;R16878;A;0;0;1;0;Marine;NO;NO;NO;NO
Varicopeza pauxilla;NO;0;9;R19638;A;0;0;1;0;Marine;NO;NO;NO;NO
Variola louti;NO;893;101;R19955;A;1;1;1;0;Freshwater_ Marine_ Oligohaline_ Terrestrial;NO;NO;NO;NO
Verbascum brockmuelleri;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Verbascum nigrum x speciosum;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Verbena bracteata;NO;1004;15;R15884;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Vernonia fasciculata;NO;1367;49;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Veronica austriaca;NO;2200;64;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Veronica cymbalaria;NO;1061;154;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Veronica peregrina;NO;1663;231;R15940;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Veronica teucrium;NO;3254;189;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Veronicastrum virginicum;NO;5147;22;R15962;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Vespa orientalis;NO;1205;1291;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Vespa velutina;NO;2146;637;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Viburnum davidii;NO;5870;81;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Viburnum rhytidophylloides;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Viburnum tinus;NO;9501;640;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Vicia cuspidata;NO;0;81;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Vicia faba;NO;6316;55060;R16001;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Vormela peregusna;NO;975;149;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Vryburgia brevicruris;NO;0;2;R16116;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Vulpia alopecuros;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Walkerella microcarpae;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Waltheria indica;NO;1768;356;R16146;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Washingtonia filifera;NO;7734;355;R16147;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Washingtonia robusta;NO;7288;226;R16148;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Watersipora arcuata;NO;0;132;R19305;A;0;0;1;0;Marine;NO;NO;NO;NO
Watersipora subatra;NO;0;12;R16151;C;0;0;1;0;Marine;NO;NO;NO;NO
Watersipora subtorquata;NO;0;263;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Wisteria sinensis;NO;5657;311;R16166;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Wolffia columbiana;NO;460;76;R19447;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Xanthias lamarckii;NO;0;7;R17604;A;0;0;1;0;Marine;NO;NO;NO;NO
Xanthium orientale;NO;1038;99;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xanthocyparis nootkatensis;NO;697;45;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xeroplexa olisippensis;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Xyleborus atratus;NO;0;44;R17224;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xyleborus bispinatus;NO;0;45;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xyleborus bodoanus;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xylella fastidiosa;NO;6453;6392;NA;NA;1;0;0;0;Terrestrial;NO;NO;YES;YES
Xylosandrus compactus;NO;1527;242;R16275;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xylosandrus crassiusculus;NO;1401;258;R16276;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xyloterinus politus;NO;0;67;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Xylotrechus chinensis;NO;645;111;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Yoldia limatula;NO;0;251;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Youngia japonica;NO;1947;240;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Yucca aloifolia;NO;4853;175;R16287;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Yucca gloriosa;NO;7143;396;R16289;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zantedeschia aethiopica;NO;5391;848;R16299;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zantedeschia albomaculata;NO;1958;65;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zaprionus indianus;NO;0;630;R16301;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zaprionus tuberculatus;NO;0;49;R16302;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zea mays;NO;12268;255930;R16304;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zebrasoma xanthurum;NO;2982;32;R19393;A;0;0;1;0;Marine;NO;NO;NO;NO
Zelkova serrata;NO;5925;571;R16306;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zelus renardii;NO;2193;273;R17951;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zenaida meloda;NO;1271;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Zeuxo holdichi;NO;0;5;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Zingeria pisidica;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
