species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Mentzelia albicaulis;NO;687;6;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Mesanthura romulea;NO;0;0;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Meselatus bicolor;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Metrosideros excelsa;NO;4860;248;R09409;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Microcosmus exasperatus;NO;NA;NA;R16446;A;0;0;1;0;NA;NA;NA;NO;NA
Microlepia platyphylla;NO;0;4;R09426;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Micromeria filiformis;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Micropogonias undulatus;NO;1425;2443;R09438;A;0;0;1;0;Marine;NO;NO;NO;NO
Mimus gilvus;NO;2083;63;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Mirabilis jalapa;NO;8283;2537;R09514;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Misgurnus fossilis;NO;1150;1301;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;YES
Mitrella psilla;NO;0;4;R16717;A;0;0;1;0;Marine;NO;NO;NO;NO
Mnemiopsis leidyi;NO;3636;3000;R09524;A;0;0;1;0;Marine;YES;YES;NO;NO
Moerisia inkermanica;NO;0;27;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Molgula manhattensis;NO;NA;NA;R09534;C;0;0;1;0;NA;NA;NA;NO;NA
Momordica charantia;NO;7353;14769;R09540;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Monocorophium uenoi;NO;0;9;R18241;A;0;1;1;0;Freshwater_Marine;NO;NO;NO;NO
Monomorium bicolor;NO;0;95;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Monoxia obesula;NO;0;18;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Moricandia arvensis;NO;1342;645;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Morus nigra;NO;8674;4061;R09619;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Muehlenbeckia complexa;NO;2226;7;R09627;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Muehlenbeckia sagittifolia;NO;0;1;R09628;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Muhlenbergia schreberi;NO;1791;25;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Mulinia lateralis;NO;566;1093;R19637;A;0;0;1;0;Marine;NO;NO;NO;NO
Muscari armeniacum;NO;3086;394;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Muscari latifolium;NO;1546;54;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Musophaga violacea;NO;0;2;R09667;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Mustela putorius;NO;4494;6911;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Mya arenaria;NO;1951;7343;R09679;A;0;0;1;0;Marine;NO;NO;NO;NO
