"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Washingtonia robusta";"Washingtonia robusta";"Arecaceae";"Arecales";"Liliopsida";"Tracheophyta";"TPL";"Washingtonia robusta";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Zantedeschia aethiopica";"Zantedeschia aethiopica";"Araceae";"Alismatales";"Liliopsida";"Tracheophyta";"TPL";"Zantedeschia aethiopica";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
"Zea mays";"Zea mays";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"TPL";"Zea mays";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Corythucha arcuata";"Corythucha arcuata Say";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Corythucha arcuata";"Albania";"";"";2016;"2016";"Cs�ka et al. 2019"
"Trichopoda pennipes";"";"Tachinidae";"Diptera";"Insecta";"Arthropoda";"";"";"Albania";"";"";2019;"2019";"KAZILAS ET AL.2020 Expansion of Trichopoda pennipes in the Western Palearctic"
"Equisetum palustre";"Equisetum palustre L.";"Equisetaceae";"Equisetales";"Polypodiopsida";"Tracheophyta";"TPL";"Equisetum�palustre�L.";"Andorra";"";"established";2017;"2017";"Jones et al. (2019)"
"Belonochilus numenius";"Belonochilus numenius (Say & T., 1831)";"Lygaeidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Belonochilus numenius (Say, 1831)";"Austria";"";"established";2011;"2011";"DAISIE"
"Ceratitis capitata";"Ceratitis capitata (Wiedemann, 1824)";"Tephritidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Ceratitis capitata (Wiedemann, 1824)";"Austria";"";"alien";2011;"2011";"Roques et al. (2010); Roques et al. (2016)"
"Drosophila suzukii";"Drosophila suzukii (Matsumura, 1931)";"Drosophilidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Drosophila suzukii";"Austria";"";"";2011;"2011";"CABI ISC"
"Dryocosmus kuriphilus";"Dryocosmus kuriphilus Yasumatsu, 1951";"Cynipidae";"Hymenoptera";"Insecta";"Arthropoda";"GBIF";"Dryocosmus kuriphilus (Yasumatsu 1951)";"Austria";"";"alien";2013;"2013";"Roques et al. (2010); Roques et al. (2016)"
"Luperomorpha xanthodera";"Luperomorpha xanthodera (Fairmaire, 1888)";"Chrysomelidae";"Coleoptera";"Insecta";"Arthropoda";"GBIF";"Luperomorpha xanthodera (Fairmaire, 1888)";"Austria";"";"established";2011;"2011";"DAISIE"
"Stephanitis takeyai";"Stephanitis takeyai Drake & Maa, 1955";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Stephanitis takeyai Drake & Maa, 1955";"Austria";"";"alien";2011;"2011";"Roques et al. (2010); Roques et al. (2016)"
"Stragania apicalis";"Penestragania apicalis (Osborn Penestragania apicalis & Penestragania apicalis Ball, Penestragania apicalis 1898)";"Cicadellidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Penestragania apicalis (Osborn & Ball, 1898)";"Austria";"";"alien";2012;"2012";"Roques et al. (2010); Roques et al. (2016)"
"Tuta absoluta";"Tuta absoluta (Meyrick, 1917)";"Gelechiidae";"Lepidoptera";"Insecta";"Arthropoda";"GBIF";"Tuta absoluta (Meyrick, 1917)";"Austria";"";"established";2010;"2010";"DAISIE"
"Ceterach officinarum";"Ceterach officinarum Willd.";"Aspleniaceae";"Polypodiales";"Polypodiopsida";"Tracheophyta";"TPL";"Ceterach officinarum Willd.";"Austria";"";"established";2017;"2017";"Jones et al. (2019)"
"Achillea clypeolata";"Achillea clypeolata Sibth. & Sm.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Achillea clypeolata";"Austria";"";"";2019;"2019";"Neilreichia 11: 165-227 (2020)"
"Agastache rugosa";"Agastache rugosa (Fisch. & C.A.Mey.) Kuntze";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lopanthus rugosus";"Austria";"";"";2019;"2019";"Neilreichia 11: 165-227 (2020)"
"Berberis x ottawensis";"Berberis �ottawensis C.K.Schneid.";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Berberis x ottawensis";"Austria";"";"";2016;"2016";"Neilreichia 11: 165-227 (2020)"
"Cicer arietinum";"Cicer arietinum L.";"Fabaceae";"Fabales";"Magnoliopsida";"Tracheophyta";"GBIF";"Cicer arietinum";"Austria";"";"alien";2019;"2019";"Neilreichia 11: 165-227 (2020)"
"Mahonia x decumbens";"Mahonia �decumbens Stace";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Mahonia x decumbens";"Austria";"";"";2016;"2016";"Neilreichia 11: 165-227 (2020)"
"Mahonia x wagneri";"Mahonia wagneri (Jouin) Rehder";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Mahonia aquifolium";"Austria";"";"";2014;"2014";"Neilreichia 11: 165-227 (2020)"
"Ornithogalum oligophyllum";"Ornithogalum oligophyllum E.D.Clarke";"Asparagaceae";"Asparagales";"Liliopsida";"Tracheophyta";"GBIF";"Ornithogalum oligophyllum";"Austria";"";"";2012;"2012";"Neilreichia 11: 165-227 (2020)"
"Psephellus dealbatus";"Psephellus dealbatus (Willd.) C.Koch";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Centaurea dealbata Willd.";"Austria";"";"";2020;"2020";"Neilreichia 11: 165-227 (2020)"
"Salix babylonica var. pekinensis cv. 'Tortuosa'";"Salix babylonica var. pekinensis Henry";"Salicaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Salix babylonica L.";"Austria";"";"casual";2013;"2013";"Neilreichia 11: 165-227 (2020)"
"Selinum silaifolium";"Selinum silaifolium (Jacq.) Beck";"Apiaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Katapsuxis silaifolia (Jacq.) Reduron, Charpin & Pmenov";"Austria";"";"";2019;"2019";"Neilreichia 11: 165-227 (2020)"
"Sida hermaphrodita";"Sida hermaphrodita (L.) Rusby";"Malvaceae";"Malvales";"Magnoliopsida";"Tracheophyta";"GBIF";"Ripariosida hermaphrodita (L.) Weakley & D.B.Poind.";"Austria";"";"";2017;"2017";"Neilreichia 11: 165-227 (2020)"
"Chamaesyce canescens";"Chamaesyce canescens (L.) Prokh.";"Euphorbiaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Euphorbia canescens";"Austria";"";"";2013;"2013";"Neilreichia 7: 157-194 (2015)"
"Symphytum bulbosum";"Symphytum bulbosum K.F.Schimp.";"Boraginaceae";"Boraginales";"Magnoliopsida";"Tracheophyta";"GBIF";"Symphytum bulbosum";"Austria";"";"";2011;"2011";"Neilreichia 7: 157-194 (2015)"
"Perovskia x superba";"P. abrotanoides x P. atripicifolia";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"P. abrotanoides � atriplicifolia";"Austria";"";"";2016;"2016";"Neilreichia 8: 181-238 (2016)"
